[# ERROR | 2019-08-20 | 20:06:46.821 | PID=6576 | ThreadId=13292 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Acesso negado.] #]
[# ERROR | 2019-08-20 | 20:06:46.920 | PID=6576 | ThreadId=13292 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Acesso negado.] #]
[# ERROR | 2019-08-20 | 20:06:47.020 | PID=6576 | ThreadId=13292 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Acesso negado.] #]
[# ERROR | 2019-08-20 | 20:06:47.119 | PID=6576 | ThreadId=13292 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Acesso negado.] #]
[# ERROR | 2019-08-20 | 20:06:47.219 | PID=6576 | ThreadId=13292 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Acesso negado.] #]
[# ERROR | 2019-08-20 | 20:06:47.319 | PID=6576 | ThreadId=13292 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Acesso negado.] #]
[# ERROR | 2019-08-20 | 20:06:47.420 | PID=6576 | ThreadId=13292 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Acesso negado.] #]
[# ERROR | 2019-08-20 | 20:19:28.899 | PID=7536 | ThreadId=10824 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Acesso negado.] #]
[# ERROR | 2019-08-20 | 20:19:28.997 | PID=7536 | ThreadId=10824 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Acesso negado.] #]
[# ERROR | 2019-08-20 | 20:19:29.098 | PID=7536 | ThreadId=10824 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Acesso negado.] #]
[# ERROR | 2019-08-20 | 20:19:29.199 | PID=7536 | ThreadId=10824 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Acesso negado.] #]
[# ERROR | 2019-08-20 | 20:19:29.298 | PID=7536 | ThreadId=10824 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Acesso negado.] #]
[# ERROR | 2019-08-20 | 20:19:29.399 | PID=7536 | ThreadId=10824 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Acesso negado.] #]
[# ERROR | 2019-08-20 | 20:19:29.497 | PID=7536 | ThreadId=10824 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Acesso negado.] #]
[# ERROR | 2019-08-20 | 20:19:29.598 | PID=7536 | ThreadId=10824 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Acesso negado.] #]
[# ERROR | 2019-08-20 | 20:19:29.698 | PID=7536 | ThreadId=10824 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Acesso negado.] #]
